time,open,high,low,close,tick_volume
2026-03-13 05:00:00,1.15028,1.15062,1.14993,1.15006,1303
2026-03-13 06:00:00,1.15008,1.1503,1.1482,1.1482700000000001,2123
2026-03-13 07:00:00,1.14829,1.14833,1.14537,1.14575,3578
2026-03-13 08:00:00,1.14573,1.1459,1.14324,1.14448,4594
2026-03-13 09:00:00,1.1445,1.14611,1.1445,1.14527,3613
2026-03-13 10:00:00,1.14528,1.14716,1.1451500000000001,1.14581,3364
2026-03-13 11:00:00,1.14581,1.14704,1.1454900000000001,1.1468099999999999,3802
2026-03-13 12:00:00,1.14679,1.1488,1.14605,1.14776,5501
2026-03-13 13:00:00,1.14779,1.14896,1.14733,1.14788,4834
2026-03-13 14:00:00,1.14787,1.14847,1.14553,1.1457,4972
2026-03-13 15:00:00,1.14571,1.14606,1.1434199999999999,1.1442700000000001,5597
2026-03-13 16:00:00,1.14425,1.14501,1.14359,1.14417,4404
2026-03-13 17:00:00,1.14415,1.14459,1.14333,1.14421,3034
2026-03-13 18:00:00,1.14422,1.1442700000000001,1.1431499999999999,1.14357,2473
2026-03-13 19:00:00,1.14357,1.14367,1.14196,1.1421999999999999,1998
2026-03-13 20:00:00,1.14219,1.14224,1.14106,1.1414900000000001,1597
2026-03-15 21:00:00,1.1417,1.14263,1.14169,1.14242,465
2026-03-15 22:00:00,1.14261,1.14383,1.1418300000000001,1.14294,3041
2026-03-15 23:00:00,1.14296,1.14354,1.14256,1.14349,2281
2026-03-16 00:00:00,1.14348,1.1455,1.14348,1.14543,2364
2026-03-16 01:00:00,1.14543,1.14561,1.14394,1.14491,2409
2026-03-16 02:00:00,1.14491,1.14511,1.14444,1.14475,1722
2026-03-16 03:00:00,1.14477,1.14536,1.14452,1.14501,1221
2026-03-16 04:00:00,1.14502,1.14513,1.14411,1.14411,1014
2026-03-16 05:00:00,1.14412,1.14433,1.14329,1.14345,1459
2026-03-16 06:00:00,1.14344,1.14364,1.14238,1.14314,1834
2026-03-16 07:00:00,1.14313,1.14347,1.14139,1.14256,2789
2026-03-16 08:00:00,1.14258,1.14451,1.14256,1.14445,3880
2026-03-16 09:00:00,1.14445,1.14523,1.14405,1.14495,2849
2026-03-16 10:00:00,1.14495,1.14774,1.14471,1.14749,3381
2026-03-16 11:00:00,1.14749,1.14867,1.14705,1.14789,2997
2026-03-16 12:00:00,1.14791,1.14875,1.14719,1.14736,3545
2026-03-16 13:00:00,1.14738,1.15004,1.14738,1.14998,3643
2026-03-16 14:00:00,1.14997,1.15018,1.14801,1.14885,4117
2026-03-16 15:00:00,1.14884,1.14998,1.14799,1.1486399999999999,3065
2026-03-16 16:00:00,1.14866,1.1499,1.14772,1.14931,3605
2026-03-16 17:00:00,1.14933,1.15038,1.14902,1.14918,3576
2026-03-16 18:00:00,1.14917,1.15233,1.14917,1.15185,3053
2026-03-16 19:00:00,1.15185,1.15245,1.15057,1.15078,3053
2026-03-16 20:00:00,1.15075,1.15103,1.15028,1.15044,1238
2026-03-16 21:00:00,1.15045,1.1507100000000001,1.15025,1.15067,431
2026-03-16 22:00:00,1.15062,1.15062,1.14977,1.1498599999999999,663
2026-03-16 23:00:00,1.1498599999999999,1.14996,1.14943,1.14981,923
2026-03-17 00:00:00,1.14981,1.14983,1.14889,1.14923,1649
2026-03-17 01:00:00,1.1492,1.14954,1.14863,1.14926,1921
2026-03-17 02:00:00,1.14926,1.14982,1.14905,1.14947,1041
2026-03-17 03:00:00,1.14945,1.15024,1.14914,1.1491500000000001,1378
2026-03-17 04:00:00,1.1491500000000001,1.14994,1.1489099999999999,1.14967,886
2026-03-17 05:00:00,1.14967,1.1499,1.14778,1.14791,1445
2026-03-17 06:00:00,1.1479300000000001,1.14813,1.14656,1.14812,2233
2026-03-17 07:00:00,1.14812,1.14999,1.14792,1.14945,2568
2026-03-17 08:00:00,1.14947,1.15177,1.14874,1.15101,3658
2026-03-17 09:00:00,1.15102,1.15244,1.15075,1.15161,3095
2026-03-17 10:00:00,1.1515900000000001,1.1516,1.1503700000000001,1.1506,2649
2026-03-17 11:00:00,1.1506,1.15185,1.15042,1.15073,2432
2026-03-17 12:00:00,1.15073,1.15243,1.1504,1.15237,3329
2026-03-17 13:00:00,1.15239,1.15434,1.15239,1.15301,4540
2026-03-17 14:00:00,1.15303,1.15385,1.15204,1.15328,3717
2026-03-17 15:00:00,1.15329,1.15384,1.1520299999999999,1.15245,4096
2026-03-17 16:00:00,1.15246,1.1532499999999999,1.15177,1.15278,3500
2026-03-17 17:00:00,1.15276,1.15397,1.15258,1.15391,2181
2026-03-17 18:00:00,1.15393,1.1547,1.1538,1.15389,1758
2026-03-17 19:00:00,1.1539,1.15411,1.15336,1.15353,1204
2026-03-17 20:00:00,1.15355,1.1542,1.15347,1.1539,787
2026-03-17 21:00:00,1.15394,1.15398,1.15333,1.15362,574
2026-03-17 22:00:00,1.15365,1.15444,1.15365,1.15398,1006
2026-03-17 23:00:00,1.15398,1.1541,1.15369,1.15384,1458
2026-03-18 00:00:00,1.15385,1.15434,1.15317,1.15322,1817
2026-03-18 01:00:00,1.15324,1.15399,1.15318,1.15333,1341
2026-03-18 02:00:00,1.15335,1.15379,1.15318,1.15322,971
2026-03-18 03:00:00,1.15322,1.15363,1.15317,1.1536,690
2026-03-18 04:00:00,1.15359,1.15421,1.15358,1.1541299999999999,817
2026-03-18 05:00:00,1.1541299999999999,1.15467,1.15397,1.1545,1002
2026-03-18 06:00:00,1.15449,1.15488,1.15392,1.15418,1311
2026-03-18 07:00:00,1.15417,1.15453,1.15232,1.15262,1939
2026-03-18 08:00:00,1.1526,1.15338,1.15175,1.15319,2387
2026-03-18 09:00:00,1.15319,1.15391,1.15248,1.15383,1914
2026-03-18 10:00:00,1.15383,1.15435,1.15333,1.15393,1734
2026-03-18 11:00:00,1.15392,1.15549,1.15298,1.15461,3861
2026-03-18 12:00:00,1.15463,1.15478,1.15052,1.1507100000000001,6713
2026-03-18 13:00:00,1.15073,1.15152,1.14903,1.1514,6160
2026-03-18 14:00:00,1.15145,1.1527,1.1503700000000001,1.15162,5159
2026-03-18 15:00:00,1.15163,1.15294,1.1511,1.15128,4360
2026-03-18 16:00:00,1.15126,1.15218,1.15065,1.15106,3074
2026-03-18 17:00:00,1.15104,1.15165,1.15023,1.15163,2805
2026-03-18 18:00:00,1.15165,1.15249,1.14768,1.14768,8044
2026-03-18 19:00:00,1.1477,1.14824,1.14682,1.14691,4025
2026-03-18 20:00:00,1.1469,1.14702,1.14492,1.14492,2159
2026-03-18 21:00:00,1.14503,1.14639,1.14466,1.14639,699
2026-03-18 22:00:00,1.1466,1.1466,1.14507,1.14565,1694
2026-03-18 23:00:00,1.14565,1.14654,1.14548,1.14632,1947
2026-03-19 00:00:00,1.14629,1.14738,1.14618,1.14735,2262
2026-03-19 01:00:00,1.14737,1.14832,1.14731,1.14757,1840
2026-03-19 02:00:00,1.14757,1.1491,1.14716,1.14819,2686
2026-03-19 03:00:00,1.14819,1.14833,1.14743,1.14745,1231
2026-03-19 04:00:00,1.14743,1.14747,1.14666,1.14686,1205
2026-03-19 05:00:00,1.14687,1.1470799999999999,1.1463,1.14656,1301
2026-03-19 06:00:00,1.14659,1.14763,1.14606,1.14649,2450
2026-03-19 07:00:00,1.14652,1.1475,1.14505,1.14523,4902
2026-03-19 08:00:00,1.14521,1.14588,1.14423,1.14509,5218
2026-03-19 09:00:00,1.14507,1.14876,1.14507,1.14798,8267
2026-03-19 10:00:00,1.14795,1.14795,1.14662,1.14734,3865
2026-03-19 11:00:00,1.1473200000000001,1.1481,1.14654,1.1479300000000001,3353
2026-03-19 12:00:00,1.1479300000000001,1.14895,1.14623,1.14869,7083
2026-03-19 13:00:00,1.14867,1.1527,1.14691,1.15172,11969
2026-03-19 14:00:00,1.15173,1.1528,1.15004,1.1516,10608
2026-03-19 15:00:00,1.15158,1.15385,1.14981,1.1514,7297
2026-03-19 16:00:00,1.15137,1.15375,1.15115,1.1535199999999999,8243
2026-03-19 17:00:00,1.15355,1.15674,1.15353,1.15599,4495
2026-03-19 18:00:00,1.15595,1.15838,1.15507,1.15835,3850
2026-03-19 19:00:00,1.1583700000000001,1.16163,1.15768,1.15844,11730
2026-03-19 20:00:00,1.15845,1.15891,1.158,1.15863,1623
2026-03-19 21:00:00,1.15865,1.1588,1.1581,1.15826,655
2026-03-19 22:00:00,1.15822,1.15946,1.15768,1.15779,1512
2026-03-19 23:00:00,1.15779,1.15815,1.1574200000000001,1.15762,1461
2026-03-20 00:00:00,1.15762,1.15798,1.15708,1.15736,1854
2026-03-20 01:00:00,1.15736,1.15767,1.15632,1.15648,2063
2026-03-20 02:00:00,1.15651,1.15678,1.15614,1.15634,1285
