,open,high,low,close,tick_volume,EMA_Fast,EMA_Slow,Signal,SL,TP
2026-03-31 23:41:00,1.15654,1.15658,1.15653,1.15656,9.0,1.156551546293785,1.1564778941887635,0,,
2026-03-31 23:42:00,1.15653,1.15653,1.15647,1.15648,6.0,1.156537237035028,1.1564780856261485,0,,
2026-03-31 23:43:00,1.15648,1.15658,1.15648,1.15657,16.0,1.1565437896280224,1.1564864414783167,0,,
2026-03-31 23:44:00,1.15657,1.15658,1.15653,1.15655,15.0,1.156545031702418,1.1564922195257423,0,,
2026-03-31 23:45:00,1.15655,1.15656,1.15647,1.1565,18.0,1.1565360253619343,1.1564929268415838,0,,
2026-03-31 23:46:00,1.15651,1.15662,1.1565,1.1566,14.0,1.1565488202895475,1.1565026607650761,0,,
2026-03-31 23:47:00,1.15662,1.15669,1.15662,1.15664,19.0,1.156567056231638,1.1565151461500691,0,,
2026-03-31 23:48:00,1.15663,1.15667,1.15661,1.15663,8.0,1.1565796449853103,1.1565255874091538,0,,
2026-03-31 23:49:00,1.15663,1.15675,1.15662,1.15674,22.0,1.1566117159882483,1.156545079462867,0,,
2026-03-31 23:50:00,1.15674,1.15695,1.15674,1.15689,46.0,1.1566673727905987,1.1565764358753337,0,,
2026-03-31 23:51:00,1.15689,1.15699,1.15686,1.15686,48.0,1.1567058982324792,1.1566022144321215,0,,
2026-03-31 23:52:00,1.15688,1.157,1.15685,1.15691,30.0,1.1567467185859834,1.1566301949382922,0,,
2026-03-31 23:53:00,1.15691,1.15703,1.15689,1.15696,49.0,1.1567893748687867,1.1566601772166292,0,,
2026-03-31 23:54:00,1.15696,1.157,1.15688,1.157,32.0,1.1568314998950295,1.1566910701969357,0,,
2026-03-31 23:55:00,1.157,1.15727,1.15699,1.15719,52.0,1.1569031999160238,1.1567364274517598,0,,
2026-03-31 23:56:00,1.15719,1.15726,1.15718,1.15724,28.0,1.156970559932819,1.156782206774327,0,,
2026-03-31 23:57:00,1.15724,1.15736,1.1572,1.15736,40.0,1.1570484479462553,1.1568347334312064,0,,
2026-03-31 23:58:00,1.15736,1.15741,1.15731,1.15738,35.0,1.1571147583570043,1.1568843031192786,0,,
2026-03-31 23:59:00,1.15738,1.15743,1.15733,1.15736,21.0,1.1571638066856034,1.1569275482902532,0,,
