,open,high,low,close,tick_volume
2026-04-01 01:55:00,1.15605,1.15608,1.156,1.15604,22.0
2026-04-01 01:56:00,1.15605,1.15607,1.15598,1.15599,31.0
2026-04-01 01:57:00,1.15598,1.15611,1.15597,1.15611,23.0
2026-04-01 01:58:00,1.15613,1.15616,1.15608,1.15609,26.0
2026-04-01 01:59:00,1.15609,1.15616,1.15608,1.15612,22.0
2026-04-01 02:00:00,1.15613,1.15627,1.15609,1.15609,43.0
2026-04-01 02:01:00,1.1561,1.15619,1.15602,1.15619,32.0
2026-04-01 02:02:00,1.15618,1.15624,1.15615,1.15619,34.0
2026-04-01 02:03:00,1.15619,1.15629,1.15614,1.15628,25.0
2026-04-01 02:04:00,1.15629,1.15647,1.15625,1.15644,31.0
2026-04-01 02:05:00,1.15644,1.15659,1.15644,1.1565,30.0
2026-04-01 02:06:00,1.1565,1.15659,1.1565,1.15656,22.0
2026-04-01 02:07:00,1.15656,1.15656,1.15648,1.1565400000000001,16.0
2026-04-01 02:08:00,1.1565400000000001,1.1565400000000001,1.15645,1.1565,16.0
2026-04-01 02:09:00,1.15649,1.1566,1.15647,1.1565400000000001,24.0
2026-04-01 02:10:00,1.15653,1.15658,1.1565,1.1565,15.0
2026-04-01 02:11:00,1.1565,1.1565,1.1564,1.15643,22.0
2026-04-01 02:12:00,1.15643,1.15644,1.15635,1.15644,25.0
2026-04-01 02:13:00,1.15643,1.15647,1.15636,1.1564,26.0
2026-04-01 02:14:00,1.15641,1.15647,1.15641,1.15646,8.0
2026-04-01 02:15:00,1.15646,1.15656,1.15642,1.15656,22.0
2026-04-01 02:16:00,1.15656,1.15662,1.15651,1.15662,30.0
2026-04-01 02:17:00,1.15661,1.15661,1.15655,1.1566,18.0
2026-04-01 02:18:00,1.1566,1.1566,1.1565400000000001,1.1565400000000001,15.0
2026-04-01 02:19:00,1.1565400000000001,1.15656,1.15649,1.15655,18.0
2026-04-01 02:20:00,1.15655,1.1566,1.15651,1.15651,24.0
2026-04-01 02:21:00,1.15651,1.15651,1.15647,1.1565,12.0
2026-04-01 02:22:00,1.15649,1.15651,1.15642,1.15645,17.0
2026-04-01 02:23:00,1.15646,1.15659,1.15646,1.15659,18.0
2026-04-01 02:24:00,1.15661,1.15665,1.15656,1.15662,20.0
2026-04-01 02:25:00,1.15664,1.15664,1.1565,1.1565400000000001,20.0
2026-04-01 02:26:00,1.1565400000000001,1.15656,1.15643,1.15648,21.0
2026-04-01 02:27:00,1.15648,1.15652,1.15648,1.15649,12.0
2026-04-01 02:28:00,1.15649,1.15653,1.15647,1.15653,20.0
2026-04-01 02:29:00,1.15653,1.15653,1.15642,1.15646,32.0
2026-04-01 02:30:00,1.15646,1.15649,1.15642,1.15644,18.0
2026-04-01 02:31:00,1.15644,1.15646,1.15642,1.15645,21.0
2026-04-01 02:32:00,1.15643,1.15651,1.15628,1.15651,50.0
2026-04-01 02:33:00,1.15649,1.15652,1.1564,1.15641,22.0
2026-04-01 02:34:00,1.15641,1.15649,1.15639,1.15642,30.0
2026-04-01 02:35:00,1.15641,1.15647,1.15632,1.15636,34.0
2026-04-01 02:36:00,1.15636,1.15649,1.15636,1.15643,25.0
2026-04-01 02:37:00,1.15644,1.15653,1.15637,1.15637,29.0
2026-04-01 02:38:00,1.15637,1.15652,1.15625,1.15651,37.0
2026-04-01 02:39:00,1.15651,1.1565400000000001,1.15638,1.15639,30.0
2026-04-01 02:40:00,1.15639,1.15639,1.15626,1.1562999999999999,28.0
2026-04-01 02:41:00,1.1562999999999999,1.15651,1.15627,1.15649,30.0
2026-04-01 02:42:00,1.15649,1.1565400000000001,1.15647,1.15653,29.0
2026-04-01 02:43:00,1.15653,1.15664,1.15653,1.15662,26.0
2026-04-01 02:44:00,1.15662,1.15669,1.15653,1.1566,28.0
2026-04-01 02:45:00,1.1566,1.15678,1.1566,1.15677,31.0
2026-04-01 02:46:00,1.15679,1.1568100000000001,1.15667,1.15667,27.0
2026-04-01 02:47:00,1.15668,1.15675,1.15668,1.15675,18.0
2026-04-01 02:48:00,1.15676,1.15676,1.15671,1.15676,8.0
2026-04-01 02:49:00,1.15674,1.15674,1.1567,1.1567,20.0
2026-04-01 02:50:00,1.1567,1.15676,1.1567,1.15674,12.0
2026-04-01 02:51:00,1.15674,1.15685,1.15674,1.1568100000000001,24.0
2026-04-01 02:52:00,1.1568100000000001,1.15692,1.15679,1.15685,33.0
2026-04-01 02:53:00,1.15685,1.15699,1.15684,1.15694,24.0
2026-04-01 02:54:00,1.15694,1.15698,1.15692,1.15693,24.0
2026-04-01 02:55:00,1.15693,1.15701,1.15689,1.15699,26.0
2026-04-01 02:56:00,1.15699,1.15701,1.15696,1.15701,16.0
2026-04-01 02:57:00,1.157,1.15708,1.15693,1.15693,29.0
2026-04-01 02:58:00,1.15694,1.15697,1.1569,1.1569099999999999,20.0
2026-04-01 02:59:00,1.1569099999999999,1.15695,1.1568,1.15683,20.0
2026-04-01 03:00:00,1.1568100000000001,1.15682,1.15666,1.15667,35.0
2026-04-01 03:01:00,1.15667,1.15678,1.15661,1.15678,39.0
2026-04-01 03:02:00,1.15678,1.15679,1.15665,1.15667,32.0
2026-04-01 03:03:00,1.15668,1.1567,1.15647,1.15655,39.0
2026-04-01 03:04:00,1.15656,1.15661,1.15651,1.15653,26.0
2026-04-01 03:05:00,1.15652,1.1565400000000001,1.15651,1.15652,13.0
2026-04-01 03:06:00,1.15652,1.15662,1.15652,1.15656,18.0
2026-04-01 03:07:00,1.15656,1.15667,1.15651,1.15652,28.0
2026-04-01 03:08:00,1.15652,1.1565699999999999,1.15645,1.1565699999999999,25.0
2026-04-01 03:09:00,1.1565699999999999,1.15662,1.15656,1.15662,19.0
2026-04-01 03:10:00,1.15662,1.15667,1.15661,1.15667,22.0
2026-04-01 03:11:00,1.15668,1.15673,1.15667,1.15669,24.0
2026-04-01 03:12:00,1.15668,1.15676,1.15668,1.15671,21.0
2026-04-01 03:13:00,1.15671,1.15676,1.15667,1.1567,19.0
2026-04-01 03:14:00,1.15671,1.15671,1.15666,1.15666,9.0
2026-04-01 03:15:00,1.15666,1.15668,1.15646,1.15648,24.0
2026-04-01 03:16:00,1.15648,1.15659,1.15648,1.15659,15.0
2026-04-01 03:17:00,1.15659,1.15676,1.15659,1.15676,29.0
2026-04-01 03:18:00,1.15676,1.15676,1.15664,1.15671,27.0
2026-04-01 03:19:00,1.1567,1.15675,1.1567,1.15671,14.0
2026-04-01 03:20:00,1.15671,1.15672,1.15664,1.15665,10.0
2026-04-01 03:21:00,1.15665,1.15665,1.15658,1.15659,18.0
2026-04-01 03:22:00,1.15659,1.15663,1.1565699999999999,1.15659,12.0
2026-04-01 03:23:00,1.1566,1.1566,1.15655,1.1566,13.0
2026-04-01 03:24:00,1.15658,1.15658,1.1565,1.15652,20.0
2026-04-01 03:25:00,1.15652,1.15655,1.15645,1.1565,22.0
2026-04-01 03:26:00,1.1565,1.15655,1.15649,1.1565400000000001,18.0
2026-04-01 03:27:00,1.15653,1.15658,1.15649,1.15649,13.0
2026-04-01 03:28:00,1.15649,1.1566,1.15647,1.1565699999999999,27.0
2026-04-01 03:29:00,1.1565699999999999,1.1565699999999999,1.15648,1.15648,21.0
2026-04-01 03:30:00,1.15648,1.1565400000000001,1.15643,1.1565,24.0
2026-04-01 03:31:00,1.1565,1.1565,1.15637,1.1564,16.0
2026-04-01 03:32:00,1.1564,1.15641,1.15629,1.15629,29.0
2026-04-01 03:33:00,1.1562999999999999,1.15631,1.15626,1.15628,21.0
2026-04-01 03:34:00,1.15628,1.1562999999999999,1.15626,1.15626,17.0
2026-04-01 03:35:00,1.15626,1.15629,1.15622,1.15622,20.0
2026-04-01 03:36:00,1.15623,1.15626,1.15613,1.15619,26.0
2026-04-01 03:37:00,1.1562000000000001,1.15633,1.15619,1.15626,23.0
2026-04-01 03:38:00,1.15626,1.15631,1.15623,1.15625,25.0
2026-04-01 03:39:00,1.15625,1.1562999999999999,1.15625,1.15629,10.0
2026-04-01 03:40:00,1.15629,1.15629,1.15622,1.15623,19.0
2026-04-01 03:41:00,1.15623,1.15625,1.1562000000000001,1.15625,15.0
2026-04-01 03:42:00,1.15624,1.15626,1.15619,1.15619,12.0
2026-04-01 03:43:00,1.15619,1.15627,1.15619,1.15621,17.0
2026-04-01 03:44:00,1.15621,1.15623,1.1562000000000001,1.15621,5.0
2026-04-01 03:45:00,1.15623,1.15623,1.15618,1.15618,11.0
2026-04-01 03:46:00,1.15618,1.15621,1.15606,1.15606,23.0
2026-04-01 03:47:00,1.15606,1.1561,1.156,1.15601,29.0
2026-04-01 03:48:00,1.15601,1.15601,1.15594,1.15598,18.0
2026-04-01 03:49:00,1.15598,1.15606,1.15598,1.156,24.0
2026-04-01 03:50:00,1.15601,1.15601,1.15588,1.15588,21.0
2026-04-01 03:51:00,1.15588,1.15602,1.15587,1.15599,24.0
2026-04-01 03:52:00,1.15599,1.1561,1.15598,1.1561,22.0
2026-04-01 03:53:00,1.15609,1.15611,1.15605,1.1561,16.0
2026-04-01 03:54:00,1.15611,1.15611,1.15606,1.1561,13.0
2026-04-01 03:55:00,1.1561,1.15616,1.1561,1.15612,12.0
2026-04-01 03:56:00,1.1561,1.15611,1.15598,1.15604,29.0
2026-04-01 03:57:00,1.15604,1.15608,1.15602,1.15608,6.0
2026-04-01 03:58:00,1.15608,1.15609,1.15604,1.15605,22.0
2026-04-01 03:59:00,1.15605,1.15607,1.15604,1.15605,12.0
2026-04-01 04:00:00,1.15604,1.15604,1.15592,1.15599,28.0
2026-04-01 04:01:00,1.15599,1.15602,1.15595,1.15599,16.0
2026-04-01 04:02:00,1.15599,1.15599,1.15599,1.15599,1.0
2026-04-01 04:03:00,1.15599,1.15605,1.15595,1.15599,27.0
2026-04-01 04:04:00,1.15599,1.1561,1.15594,1.15607,24.0
2026-04-01 04:05:00,1.15605,1.15614,1.15603,1.15614,17.0
2026-04-01 04:06:00,1.15614,1.15626,1.15614,1.15622,25.0
2026-04-01 04:07:00,1.15622,1.15624,1.15617,1.15624,12.0
2026-04-01 04:08:00,1.15623,1.15623,1.1562000000000001,1.1562000000000001,9.0
2026-04-01 04:09:00,1.15619,1.1562000000000001,1.15614,1.15615,17.0
2026-04-01 04:10:00,1.15614,1.15616,1.15612,1.15616,7.0
2026-04-01 04:11:00,1.15618,1.15618,1.15613,1.15613,9.0
2026-04-01 04:12:00,1.15613,1.15614,1.15602,1.15602,21.0
2026-04-01 04:13:00,1.15601,1.15611,1.15601,1.15611,11.0
2026-04-01 04:14:00,1.15611,1.15617,1.15605,1.15605,22.0
2026-04-01 04:15:00,1.15605,1.1561,1.156,1.15601,18.0
2026-04-01 04:16:00,1.15601,1.15601,1.1559300000000001,1.15594,15.0
2026-04-01 04:17:00,1.15594,1.15599,1.15591,1.15594,27.0
2026-04-01 04:18:00,1.15594,1.15598,1.15591,1.1559300000000001,21.0
2026-04-01 04:19:00,1.1559300000000001,1.15599,1.1559300000000001,1.15599,12.0
2026-04-01 04:20:00,1.15599,1.15605,1.15599,1.15603,13.0
2026-04-01 04:21:00,1.15604,1.15605,1.15599,1.15605,19.0
2026-04-01 04:22:00,1.15604,1.15604,1.15594,1.15603,20.0
2026-04-01 04:23:00,1.15603,1.15613,1.15601,1.15611,17.0
2026-04-01 04:24:00,1.15611,1.15616,1.1561,1.15616,13.0
2026-04-01 04:25:00,1.15616,1.15617,1.15613,1.15614,8.0
2026-04-01 04:26:00,1.15614,1.15614,1.15609,1.1561,15.0
2026-04-01 04:27:00,1.1561,1.15615,1.15608,1.15609,14.0
2026-04-01 04:28:00,1.15609,1.15611,1.15608,1.15611,11.0
2026-04-01 04:29:00,1.15611,1.1562000000000001,1.15611,1.15619,16.0
2026-04-01 04:30:00,1.15619,1.15621,1.15612,1.15612,19.0
2026-04-01 04:31:00,1.15612,1.15612,1.15608,1.15609,11.0
2026-04-01 04:32:00,1.15609,1.15623,1.15607,1.15622,18.0
