,open,high,low,close,tick_volume
2026-03-31 01:28:00,4577.838,4580.154,4576.5,4578.441,556.0
2026-03-31 01:29:00,4578.5,4581.669,4575.793,4581.502,629.0
2026-03-31 01:30:00,4581.397,4585.454,4580.707,4584.394,584.0
2026-03-31 01:31:00,4584.456,4590.531,4583.881,4588.085,684.0
2026-03-31 01:32:00,4588.141,4589.956,4584.813,4589.155,675.0
2026-03-31 01:33:00,4588.936,4591.701,4583.623,4586.25,814.0
2026-03-31 01:34:00,4586.094,4586.447,4580.322,4581.829,746.0
2026-03-31 01:35:00,4582.041,4583.295,4577.659,4578.845,631.0
2026-03-31 01:36:00,4578.773,4582.219,4577.765,4579.561,705.0
2026-03-31 01:37:00,4579.408,4583.013,4577.38,4579.959,800.0
2026-03-31 01:38:00,4579.698,4588.41,4579.698,4584.373,925.0
2026-03-31 01:39:00,4584.33,4588.946,4581.72,4588.69,709.0
2026-03-31 01:40:00,4588.589,4598.257,4588.258,4597.218,1092.0
2026-03-31 01:41:00,4597.155,4609.876,4596.935,4606.533,1299.0
2026-03-31 01:42:00,4606.485,4609.333,4599.666,4602.068,772.0
2026-03-31 01:43:00,4602.213,4618.023,4601.549,4618.023,764.0
2026-03-31 01:44:00,4618.211,4618.979,4615.835,4617.532,825.0
2026-03-31 01:45:00,4617.599,4619.464,4610.667,4611.631,768.0
2026-03-31 01:46:00,4611.595,4613.963,4604.097,4604.297,781.0
2026-03-31 01:47:00,4604.39,4607.591,4599.534,4605.968,750.0
2026-03-31 01:48:00,4606.067,4610.194,4603.306,4609.207,630.0
2026-03-31 01:49:00,4609.098,4612.415,4601.559,4603.276,791.0
2026-03-31 01:50:00,4603.335,4603.873,4596.035,4597.708,886.0
2026-03-31 01:51:00,4597.815,4614.802,4596.419,4609.087,1086.0
2026-03-31 01:52:00,4609.07,4614.14,4608.407,4610.408,713.0
2026-03-31 01:53:00,4610.615,4614.743,4606.466,4611.7,708.0
2026-03-31 01:54:00,4611.642,4611.985,4609.168,4610.311,379.0
2026-03-31 01:55:00,4610.377,4614.518,4608.245,4610.193,690.0
2026-03-31 01:56:00,4610.184,4611.039,4606.397,4607.526,443.0
2026-03-31 01:57:00,4607.596,4607.696,4602.013,4602.459,458.0
2026-03-31 01:58:00,4602.401,4603.937,4600.555,4602.172,399.0
2026-03-31 01:59:00,4602.114,4606.606,4601.161,4604.845,451.0
2026-03-31 02:00:00,4604.893,4607.119,4597.334,4598.548,629.0
2026-03-31 02:01:00,4598.609,4599.738,4593.211,4595.557,570.0
2026-03-31 02:02:00,4595.56,4596.368,4588.401,4591.506,706.0
2026-03-31 02:03:00,4591.632,4592.394,4588.669,4589.763,582.0
2026-03-31 02:04:00,4589.889,4594.55,4589.838,4593.675,508.0
2026-03-31 02:05:00,4593.849,4595.342,4590.17,4590.411,413.0
2026-03-31 02:06:00,4590.498,4599.619,4590.306,4597.093,479.0
2026-03-31 02:07:00,4597.179,4600.055,4596.055,4596.455,421.0
2026-03-31 02:08:00,4596.291,4599.873,4595.98,4599.178,431.0
2026-03-31 02:09:00,4599.265,4600.056,4596.136,4596.718,422.0
2026-03-31 02:10:00,4596.655,4599.582,4596.034,4597.284,397.0
2026-03-31 02:11:00,4597.346,4598.039,4596.303,4596.766,248.0
2026-03-31 02:12:00,4596.726,4597.032,4592.674,4593.06,408.0
2026-03-31 02:13:00,4592.993,4593.915,4588.908,4591.33,414.0
2026-03-31 02:14:00,4591.476,4592.079,4589.266,4589.91,381.0
2026-03-31 02:15:00,4589.919,4592.754,4585.876,4586.851,472.0
2026-03-31 02:16:00,4586.912,4588.908,4586.314,4587.299,383.0
2026-03-31 02:17:00,4587.491,4588.673,4583.879,4586.904,377.0
2026-03-31 02:18:00,4586.991,4590.551,4586.991,4588.601,382.0
2026-03-31 02:19:00,4588.89,4588.89,4584.628,4587.806,384.0
2026-03-31 02:20:00,4587.67,4589.09,4586.932,4588.071,263.0
2026-03-31 02:21:00,4587.864,4588.859,4585.672,4585.923,317.0
2026-03-31 02:22:00,4585.804,4587.473,4585.318,4586.604,240.0
2026-03-31 02:23:00,4586.538,4587.352,4584.007,4586.284,258.0
2026-03-31 02:24:00,4586.222,4586.222,4582.188,4584.822,274.0
2026-03-31 02:25:00,4584.962,4585.502,4580.202,4581.21,398.0
2026-03-31 02:26:00,4581.272,4582.471,4578.914,4580.738,376.0
2026-03-31 02:27:00,4580.806,4582.341,4579.345,4580.216,255.0
2026-03-31 02:28:00,4580.193,4584.494,4580.167,4583.651,297.0
2026-03-31 02:29:00,4583.731,4584.178,4581.844,4582.689,204.0
2026-03-31 02:30:00,4582.619,4583.928,4579.276,4581.852,538.0
2026-03-31 02:31:00,4581.989,4585.66,4579.743,4580.904,486.0
2026-03-31 02:32:00,4580.81,4586.672,4580.322,4585.778,610.0
2026-03-31 02:33:00,4585.835,4586.386,4580.581,4582.911,392.0
2026-03-31 02:34:00,4582.971,4583.371,4579.414,4581.058,297.0
2026-03-31 02:35:00,4580.996,4581.934,4578.95,4580.445,334.0
2026-03-31 02:36:00,4580.402,4582.745,4580.247,4581.896,235.0
2026-03-31 02:37:00,4581.714,4586.92,4580.29,4586.92,299.0
2026-03-31 02:38:00,4586.648,4586.817,4584.3,4586.689,401.0
2026-03-31 02:39:00,4586.4,4588.248,4585.538,4586.239,314.0
2026-03-31 02:40:00,4586.167,4586.167,4580.63,4580.787,470.0
2026-03-31 02:41:00,4580.7,4583.951,4578.668,4582.69,359.0
2026-03-31 02:42:00,4582.604,4585.397,4580.949,4584.723,367.0
2026-03-31 02:43:00,4584.78,4585.657,4580.595,4582.516,330.0
2026-03-31 02:44:00,4582.457,4587.163,4582.457,4587.163,243.0
2026-03-31 02:45:00,4586.86,4587.979,4585.208,4585.566,243.0
2026-03-31 02:46:00,4585.623,4585.956,4575.717,4580.002,457.0
2026-03-31 02:47:00,4580.067,4580.912,4575.377,4575.733,418.0
2026-03-31 02:48:00,4575.645,4575.645,4569.448,4569.906,580.0
2026-03-31 02:49:00,4569.962,4572.121,4568.997,4570.983,453.0
2026-03-31 02:50:00,4571.049,4573.361,4568.689,4573.072,411.0
2026-03-31 02:51:00,4572.955,4577.653,4572.698,4574.728,478.0
2026-03-31 02:52:00,4574.839,4579.199,4574.205,4578.868,334.0
2026-03-31 02:53:00,4578.742,4579.589,4575.404,4575.932,349.0
2026-03-31 02:54:00,4575.862,4577.263,4569.603,4570.666,363.0
2026-03-31 02:55:00,4570.61,4571.72,4565.406,4567.842,361.0
2026-03-31 02:56:00,4567.901,4570.139,4567.04,4568.835,308.0
2026-03-31 02:57:00,4568.779,4573.441,4568.228,4572.676,326.0
2026-03-31 02:58:00,4572.676,4574.165,4571.611,4571.611,315.0
2026-03-31 02:59:00,4571.564,4571.564,4568.213,4568.311,344.0
2026-03-31 03:00:00,4568.242,4569.877,4565.872,4566.07,494.0
2026-03-31 03:01:00,4566.028,4570.182,4566.028,4569.453,342.0
2026-03-31 03:02:00,4569.387,4570.187,4567.051,4569.583,247.0
2026-03-31 03:03:00,4569.641,4572.878,4568.802,4572.315,263.0
2026-03-31 03:04:00,4572.142,4572.938,4570.161,4570.373,247.0
2026-03-31 03:05:00,4570.083,4571.996,4566.867,4571.641,337.0
2026-03-31 03:06:00,4571.777,4572.649,4570.074,4572.249,313.0
2026-03-31 03:07:00,4572.38,4576.678,4572.38,4575.746,385.0
2026-03-31 03:08:00,4575.628,4577.017,4574.833,4575.436,335.0
2026-03-31 03:09:00,4575.283,4575.768,4569.427,4569.932,353.0
2026-03-31 03:10:00,4569.847,4572.895,4567.645,4570.615,448.0
2026-03-31 03:11:00,4570.679,4572.674,4570.147,4571.96,312.0
2026-03-31 03:12:00,4572.031,4573.92,4571.709,4573.092,300.0
